trigger_type,severity,weekly_income,income_norm,claim_amount
traffic,0.2306,1735.07,0.0174,50.0
extreme_heat,0.5148,5112.1,0.2676,232.22
aqi,0.5587,2573.14,0.0795,70.93
traffic,0.3315,2911.12,0.1045,87.44
heavy_rain,0.2864,7236.22,0.4249,377.78
aqi,0.3963,1500.0,0.0,50.0
traffic,0.3329,4727.97,0.2391,150.9
traffic,0.3138,4719.06,0.2384,131.24
heavy_rain,0.7948,2672.07,0.0868,183.21
extreme_heat,0.5295,3217.94,0.1273,146.27
extreme_heat,0.5227,7409.54,0.4377,377.56
aqi,0.6279,10737.12,0.6842,436.21
traffic,0.8218,6852.46,0.3965,360.24
traffic,0.7226,10331.33,0.6542,500.0
extreme_heat,0.3002,2847.89,0.0998,99.48
heavy_rain,0.5544,1826.14,0.0242,109.62
extreme_heat,0.7169,3919.38,0.1792,198.6
heavy_rain,0.7883,6017.51,0.3346,484.37
traffic,0.0396,1591.81,0.0068,50.0
traffic,0.1695,2532.02,0.0764,61.3
traffic,0.7014,2676.6,0.0872,116.6
extreme_heat,0.7518,4809.18,0.2451,270.5
aqi,0.834,4508.91,0.2229,178.8
aqi,0.283,2730.99,0.0912,66.63
traffic,0.3191,4402.4,0.215,129.78
heavy_rain,0.7087,2270.14,0.057,146.68
extreme_heat,0.4075,3251.23,0.1297,123.28
heavy_rain,0.6284,2137.96,0.0473,131.82
heavy_rain,0.5462,3732.68,0.1654,217.45
traffic,0.3671,2696.62,0.0886,85.05
traffic,0.87,5682.73,0.3098,298.9
aqi,0.5217,3971.53,0.1831,122.38
heavy_rain,0.0935,3592.59,0.155,111.94
extreme_heat,0.5201,9740.64,0.6104,500.0
extreme_heat,0.4676,4873.87,0.2499,218.9
heavy_rain,0.3086,3347.35,0.1368,156.42
heavy_rain,0.0705,3005.3,0.1115,96.69
extreme_heat,0.801,2229.23,0.054,123.47
heavy_rain,0.5896,3893.48,0.1773,252.68
traffic,0.763,4692.9,0.2365,223.55
extreme_heat,0.8601,1545.05,0.0033,87.18
traffic,0.423,2034.51,0.0396,72.12
traffic,0.6733,3108.66,0.1192,132.63
heavy_rain,0.4317,2323.69,0.061,114.98
traffic,0.4811,4111.85,0.1935,153.82
traffic,0.8946,4407.56,0.2154,226.34
extreme_heat,0.4549,3785.17,0.1693,156.97
heavy_rain,0.592,5298.01,0.2813,352.48
traffic,0.4284,3003.53,0.1114,102.97
heavy_rain,0.2777,3932.57,0.1802,186.56
heavy_rain,0.7984,2436.56,0.0694,174.7
heavy_rain,0.1656,4639.26,0.2325,192.49
traffic,0.1618,4179.53,0.1985,102.18
traffic,0.8287,2209.97,0.0526,107.47
traffic,0.1845,3723.69,0.1647,92.95
traffic,0.3561,3948.49,0.1814,120.43
extreme_heat,0.4852,4630.9,0.2319,213.26
extreme_heat,0.2583,4717.62,0.2383,157.22
heavy_rain,0.7633,2805.7,0.0967,194.9
heavy_rain,0.5976,5894.78,0.3255,394.95
traffic,0.3155,5226.66,0.276,168.03
extreme_heat,0.7365,2800.94,0.0964,152.73
extreme_heat,0.613,2272.54,0.0572,105.94
traffic,0.6883,2910.05,0.1044,116.37
traffic,0.5638,1927.88,0.0317,69.41
extreme_heat,0.0608,4464.91,0.2196,109.63
extreme_heat,0.2591,7271.95,0.4276,262.86
heavy_rain,0.3924,8190.85,0.4956,484.01
heavy_rain,0.4946,2333.98,0.0618,130.16
extreme_heat,0.252,5963.44,0.3306,206.02
heavy_rain,0.7701,4197.53,0.1998,314.2
extreme_heat,0.5457,1500.0,0.0,53.86
aqi,0.1633,3407.73,0.1413,72.93
heavy_rain,0.9568,3223.29,0.1277,264.47
heavy_rain,0.3724,7371.74,0.4349,421.94
heavy_rain,0.528,2603.27,0.0817,149.51
heavy_rain,0.7195,5332.27,0.2839,398.05
traffic,0.49,3814.08,0.1714,130.99
extreme_heat,0.8495,1952.95,0.0336,103.39
traffic,0.5549,3053.08,0.115,109.84
traffic,0.2867,8654.34,0.53,287.2
extreme_heat,0.5921,3689.75,0.1622,180.88
traffic,0.7076,6329.23,0.3577,302.51
heavy_rain,0.1948,6158.12,0.345,263.07
heavy_rain,0.9293,3215.92,0.1271,261.17
heavy_rain,0.5009,2118.13,0.0458,115.25
traffic,0.5076,2262.19,0.0565,76.37
extreme_heat,0.0545,8315.14,0.5048,230.92
heavy_rain,0.3917,4341.04,0.2104,231.98
extreme_heat,0.6105,1691.02,0.0141,72.05
heavy_rain,0.6155,6105.71,0.3412,423.5
traffic,0.3951,1646.78,0.0109,54.31
extreme_heat,0.2363,2662.28,0.0861,84.13
extreme_heat,0.5494,4190.8,0.1993,199.84
heavy_rain,0.1378,14188.82,0.9399,500.0
traffic,0.776,6051.13,0.3371,293.95
extreme_heat,0.1188,3161.51,0.1231,84.51
heavy_rain,0.7563,4081.24,0.1912,297.05
heavy_rain,0.3417,6373.18,0.361,331.75
aqi,0.7578,8192.15,0.4957,338.93
aqi,0.2473,3555.25,0.1522,74.73
traffic,0.185,3607.22,0.1561,87.32
heavy_rain,0.5247,2657.06,0.0857,148.4
aqi,0.6714,5611.53,0.3046,201.92
traffic,0.7515,6720.96,0.3867,346.83
traffic,0.4238,1526.39,0.002,50.0
extreme_heat,0.3111,3299.73,0.1333,119.87
heavy_rain,0.225,2193.55,0.0514,86.91
heavy_rain,0.3641,4339.24,0.2103,218.82
aqi,0.0713,2166.84,0.0494,50.0
extreme_heat,0.3607,2079.6,0.0429,76.94
heavy_rain,0.7064,7056.89,0.4116,500.0
heavy_rain,0.5149,3704.13,0.1633,221.01
extreme_heat,0.5476,3905.13,0.1782,186.92
heavy_rain,0.5231,4993.25,0.2588,301.28
aqi,0.5388,6538.15,0.3732,220.75
traffic,0.1878,3263.98,0.1307,79.85
traffic,0.4221,3300.54,0.1334,97.74
extreme_heat,0.6574,3307.56,0.1339,157.35
traffic,0.4476,6910.2,0.4008,262.91
extreme_heat,0.1812,3889.1,0.177,117.35
traffic,0.5043,3478.83,0.1466,117.1
heavy_rain,0.6805,4892.45,0.2513,346.89
extreme_heat,0.707,10053.01,0.6336,500.0
heavy_rain,0.7776,4176.14,0.1982,317.75
extreme_heat,0.3782,3516.69,0.1494,130.69
heavy_rain,0.5007,10630.68,0.6763,500.0
heavy_rain,0.3032,7823.61,0.4684,418.98
heavy_rain,0.4734,7276.55,0.4279,462.86
extreme_heat,0.9041,3132.72,0.1209,191.05
heavy_rain,0.7315,2981.21,0.1097,207.12
aqi,0.8528,1608.28,0.008,57.78
extreme_heat,0.1773,6518.88,0.3718,210.79
heavy_rain,0.206,4181.81,0.1987,169.27
extreme_heat,0.6565,1635.26,0.01,81.59
heavy_rain,0.6889,7338.75,0.4325,500.0
aqi,0.7488,3399.3,0.1407,118.64
extreme_heat,0.8977,3615.41,0.1567,217.79
traffic,0.4613,1888.46,0.0288,63.73
heavy_rain,0.324,5146.64,0.2701,260.0
extreme_heat,0.3726,5171.33,0.272,212.49
extreme_heat,0.916,3928.47,0.1799,242.91
aqi,0.7359,3264.56,0.1307,111.03
extreme_heat,0.8513,14961.47,0.9971,500.0
extreme_heat,0.0827,2204.63,0.0522,51.13
heavy_rain,0.7968,2805.34,0.0967,206.01
heavy_rain,0.1919,5733.77,0.3136,239.41
extreme_heat,0.6258,2423.04,0.0684,111.97
extreme_heat,0.5361,2335.3,0.0619,107.89
heavy_rain,0.1989,7085.17,0.4137,319.61
traffic,0.6145,5445.78,0.2923,226.61
aqi,0.3466,5125.94,0.2686,129.57
heavy_rain,0.3368,4406.84,0.2153,206.69
