zone,work_type,disruption_freq,flood_risk,heat_risk,weekly_income,income_norm,tenure_weeks,claim_ratio,premium_score,weekly_premium
Lajpat Nagar,1,0.32,0.45,0.68,1838.94,0.0251,83,0.0469,0.145,37.7
Mayur Vihar,0,0.35,0.55,0.7,8603.66,0.5262,84,0.2046,0.4761,57.57
Noida Sector 18,0,0.3,0.45,0.7,6677.03,0.3835,7,0.1893,0.3822,51.93
Janakpuri,1,0.3,0.4,0.68,4794.83,0.2441,34,0.0731,0.2414,43.49
Janakpuri,0,0.3,0.4,0.68,4372.31,0.2128,98,0.1439,0.2852,46.11
Karol Bagh,1,0.33,0.42,0.72,8024.99,0.4833,37,0.3708,0.3341,49.05
Lajpat Nagar,0,0.32,0.45,0.68,7373.61,0.4351,26,0.0689,0.3844,52.07
Gurugram Sector 29,0,0.28,0.5,0.68,7179.77,0.4207,66,0.2618,0.3984,52.9
Rohini,0,0.35,0.5,0.72,5056.05,0.2634,21,0.2201,0.3424,49.55
Lajpat Nagar,1,0.32,0.45,0.68,3379.17,0.1392,16,0.4782,0.2009,41.06
Shahdara,0,0.4,0.65,0.72,5905.05,0.3263,83,0.1745,0.3816,51.89
Vasant Kunj,1,0.22,0.3,0.65,6051.25,0.3371,13,0.0378,0.2194,42.17
Gurugram Sector 29,1,0.28,0.5,0.68,3658.03,0.1599,93,0.3494,0.2031,41.19
Mayur Vihar,1,0.35,0.55,0.7,3375.76,0.1389,26,0.2446,0.22,42.2
Gurugram Sector 29,0,0.28,0.5,0.68,7091.53,0.4142,12,0.2848,0.4141,53.84
Mayur Vihar,1,0.35,0.55,0.7,9247.03,0.5739,78,0.1423,0.3704,51.23
Shahdara,1,0.4,0.65,0.72,2766.4,0.0938,19,0.0858,0.2091,41.55
Lajpat Nagar,0,0.32,0.45,0.68,3527.38,0.1502,39,0.4969,0.2926,46.56
Karol Bagh,0,0.33,0.42,0.72,4795.66,0.2441,37,0.1395,0.2252,42.51
Janakpuri,0,0.3,0.4,0.68,5132.25,0.2691,53,0.6905,0.3401,49.4
Shahdara,0,0.4,0.65,0.72,3098.94,0.1184,50,0.1288,0.2998,46.99
Saket,1,0.25,0.35,0.65,10319.19,0.6533,21,0.2174,0.3499,50.0
Rohini,0,0.35,0.5,0.72,4969.37,0.257,25,0.1937,0.346,49.76
Vasant Kunj,0,0.22,0.3,0.65,5248.47,0.2777,21,0.1817,0.2967,46.8
Mayur Vihar,0,0.35,0.55,0.7,9695.74,0.6071,6,0.0719,0.4929,58.58
Noida Sector 18,0,0.3,0.45,0.7,3214.64,0.127,68,0.0793,0.2221,42.33
Saket,0,0.25,0.35,0.65,3849.83,0.1741,49,0.2731,0.2495,43.97
Mayur Vihar,1,0.35,0.55,0.7,2150.25,0.0482,12,0.4035,0.1883,40.3
Shahdara,1,0.4,0.65,0.72,3691.64,0.1623,35,0.164,0.2427,43.56
Janakpuri,0,0.3,0.4,0.68,1911.29,0.0305,70,0.219,0.1443,37.66
Janakpuri,1,0.3,0.4,0.68,5848.41,0.3221,30,0.3687,0.2529,44.18
Rohini,0,0.35,0.5,0.72,4964.16,0.2566,42,0.0786,0.2969,46.82
Lajpat Nagar,0,0.32,0.45,0.68,3503.32,0.1484,78,0.5393,0.2433,43.6
Shahdara,0,0.4,0.65,0.72,3826.82,0.1724,70,0.4261,0.3324,48.94
Karol Bagh,1,0.33,0.42,0.72,5888.36,0.3251,73,0.4128,0.2541,44.25
Connaught Place,1,0.28,0.3,0.7,2280.39,0.0578,40,0.0448,0.1212,36.27
Karol Bagh,1,0.33,0.42,0.72,4456.34,0.219,51,0.1665,0.211,41.66
Mayur Vihar,0,0.35,0.55,0.7,5708.75,0.3118,88,0.1393,0.3664,50.98
Dwarka,0,0.38,0.6,0.7,1650.55,0.0112,91,0.0139,0.203,41.18
Noida Sector 18,1,0.3,0.45,0.7,5667.31,0.3087,6,0.0279,0.2144,41.86
Lajpat Nagar,0,0.32,0.45,0.68,1742.31,0.0179,88,0.0608,0.1875,40.25
Mayur Vihar,1,0.35,0.55,0.7,3794.1,0.1699,93,0.1218,0.2498,43.99
Gurugram Sector 29,1,0.28,0.5,0.68,2249.14,0.0555,99,0.1261,0.1701,39.21
Saket,0,0.25,0.35,0.65,8230.67,0.4986,28,0.4355,0.4414,55.49
Connaught Place,1,0.28,0.3,0.7,2256.2,0.056,53,0.0077,0.1207,36.24
Vasant Kunj,1,0.22,0.3,0.65,1763.23,0.0195,5,0.3655,0.1185,36.11
Janakpuri,0,0.3,0.4,0.68,4301.32,0.2075,12,0.042,0.2507,44.04
Karol Bagh,1,0.33,0.42,0.72,3271.97,0.1313,59,0.1129,0.185,40.1
Gurugram Sector 29,1,0.28,0.5,0.68,1896.37,0.0294,22,0.2963,0.1399,37.4
Mayur Vihar,0,0.35,0.55,0.7,5233.88,0.2766,24,0.076,0.3378,49.27
Mayur Vihar,1,0.35,0.55,0.7,1500.0,0.0,31,0.0368,0.1334,37.01
Rohini,0,0.35,0.5,0.72,2396.78,0.0664,48,0.0685,0.1868,40.21
Saket,1,0.25,0.35,0.65,3018.12,0.1125,16,0.1349,0.1434,37.6
Janakpuri,1,0.3,0.4,0.68,6009.59,0.334,84,0.2711,0.2799,45.79
Janakpuri,1,0.3,0.4,0.68,7690.45,0.4586,70,0.3401,0.315,47.9
Connaught Place,0,0.28,0.3,0.7,6984.1,0.4062,83,0.0698,0.275,45.5
Shahdara,1,0.4,0.65,0.72,3727.02,0.165,97,0.3266,0.2364,43.18
Lajpat Nagar,0,0.32,0.45,0.68,1500.0,0.0,63,0.197,0.2033,41.2
Gurugram Sector 29,0,0.28,0.5,0.68,4892.34,0.2513,38,0.026,0.2873,46.24
Gurugram Sector 29,0,0.28,0.5,0.68,8394.12,0.5107,102,0.183,0.4491,55.95
Vasant Kunj,0,0.22,0.3,0.65,7456.9,0.4413,59,0.2859,0.3628,50.77
