gps_accuracy_m,accel_norm,location_velocity_kmh,network_type,order_acceptance_latency_s,peer_claims_same_window,zone_claim_spike_ratio,device_subnet_overlap,claim_time_std_minutes,battery_drain_pct_per_hr,is_fraud
8.8311,9.8283,35.0035,1,18.6704,3,2.4914,0,66.6408,17.7742,0
13.7622,12.9786,7.5275,1,45.3037,1,1.6111,0,103.0333,15.0773,0
5.1232,8.6548,32.3826,1,32.7903,7,2.4168,0,117.2039,9.9365,0
15.0339,12.1301,35.0759,1,31.5006,3,1.2899,2,64.4644,22.9279,0
8.4179,11.0229,29.9089,1,60.5454,5,0.9973,1,50.3586,13.1076,0
13.892,12.7715,27.1969,1,76.4276,2,1.0777,0,64.4916,21.6253,0
6.3206,10.8944,5.167,1,43.0354,6,1.1223,2,35.1923,21.9764,0
5.3358,9.1128,20.4525,1,29.9607,1,1.5915,2,25.669,9.6187,0
5.8442,11.278,4.6897,1,69.8278,4,1.4754,1,17.3439,10.0075,0
6.0783,8.2635,7.7536,1,12.2782,1,1.9641,2,32.5513,21.8281,0
7.614,12.6803,11.5985,1,8.9612,5,0.8307,1,90.4307,23.2027,0
13.7645,11.7268,20.4102,0,69.9789,7,2.1308,2,66.2945,19.1766,0
13.9654,12.0521,28.4523,1,37.8665,1,1.8382,0,40.6213,10.6799,0
14.4772,13.2082,29.9969,1,19.5472,1,1.2014,1,19.8006,10.8127,0
11.0361,13.3528,27.5373,1,57.0914,5,1.5671,0,35.6288,13.4091,0
22.4013,12.6651,22.3661,1,18.6558,5,1.2418,2,22.6917,19.2094,0
2.6285,9.8962,1.5009,1,2.2575,57,4.7148,6,2.4426,62.4544,1
22.507,10.9566,16.8347,1,34.399,3,2.0186,1,35.1032,14.6647,0
15.0318,11.0244,37.1675,1,8.8154,0,2.2608,2,65.4796,11.6059,0
8.2715,12.1893,5.6952,1,26.7101,3,1.967,0,77.8369,14.9761,0
20.6698,9.5429,0.3992,1,29.7062,1,2.2946,1,68.8173,20.1928,0
19.2972,10.4418,23.6784,1,45.6243,0,2.0459,0,45.4517,9.953,0
5.1834,8.5055,15.9597,1,61.4636,7,1.5185,2,59.3123,19.3188,0
2.6758,9.6611,1.5009,0,3.6231,38,5.8064,13,1.8971,68.2407,1
14.3399,8.2703,28.2279,1,50.6368,7,2.445,0,110.3437,22.5778,0
6.3989,12.6712,32.0912,1,41.9415,5,2.4867,1,62.5546,14.9846,0
1.5973,9.6622,1.5009,0,0.621,47,10.7235,12,4.8679,35.3387,1
14.488,10.8911,6.7608,0,19.2466,3,2.2498,2,31.46,21.6851,0
6.3684,13.1886,5.1331,1,52.109,1,0.8362,1,111.1037,21.9655,0
20.4051,13.403,16.1251,1,83.4276,7,1.5713,0,117.8669,20.103,0
13.0561,11.8426,18.1435,1,73.3619,4,0.8535,1,80.991,14.029,0
18.9338,12.4916,1.9917,1,63.057,6,2.0256,0,43.3175,14.2139,0
8.5193,9.0213,27.7521,1,69.2879,7,1.9259,1,63.6995,9.4843,0
16.5482,9.564,27.2477,1,48.3665,1,1.8297,2,95.7658,21.1443,0
14.0552,11.9926,22.4719,1,78.2188,7,1.6105,2,64.028,8.8455,0
12.239,12.5286,31.7712,1,64.0844,5,2.4323,0,67.444,9.9463,0
22.7276,8.235,0.9727,1,20.1591,1,1.8193,2,46.1883,22.6811,0
15.1891,10.5242,18.8592,1,46.9737,7,1.5101,0,27.446,16.5624,0
17.1108,13.4812,28.1354,1,54.8249,5,1.8622,0,99.8562,13.7044,0
7.3783,10.2325,32.8236,0,36.3504,0,1.2273,1,118.1619,17.1284,0
11.184,11.8569,3.3445,1,56.8471,2,1.5329,1,40.571,24.7749,0
9.7927,9.6971,6.2617,1,82.4872,1,1.3495,1,89.6463,12.9363,0
13.4449,11.7149,37.6883,1,28.4383,7,1.1981,0,43.1231,8.2242,0
6.4007,10.6513,15.1344,0,85.7448,3,1.4058,0,89.3765,13.1886,0
17.2499,8.6927,9.7748,1,34.5964,3,2.2533,1,61.0383,21.0689,0
20.4663,9.5387,0.2115,1,45.1491,0,1.7573,2,15.6335,8.4589,0
6.7177,11.5978,25.7915,1,88.1773,4,1.2496,0,32.9586,22.5316,0
9.7679,8.868,26.9019,0,64.5649,5,2.1701,1,37.3182,24.6639,0
9.546,12.5758,33.4067,1,32.0948,1,0.9662,2,74.4922,22.3148,0
16.874,8.0758,11.0921,1,85.135,2,0.9588,1,19.4051,21.9907,0
17.6705,13.4039,37.9565,1,39.4687,1,1.4328,1,19.6965,13.8906,0
10.9773,10.8613,36.7766,0,82.2231,6,1.6895,0,43.6684,10.5059,0
14.6162,11.332,25.4488,0,21.2161,3,1.2672,2,30.9745,12.02,0
12.9224,9.7629,30.9379,1,36.3145,4,1.9946,0,116.5522,10.6229,0
22.1897,8.6378,11.7855,1,13.2773,0,1.8282,2,75.8728,16.6531,0
0.8642,9.7959,1.5009,0,2.3209,28,5.5759,4,2.9403,41.8532,1
12.579,12.7343,8.6472,1,47.7662,6,1.5502,1,54.9865,14.8016,0
20.8131,8.2357,39.3542,1,85.4695,3,0.8719,1,23.0289,24.5089,0
18.0632,9.0275,0.54,1,82.1721,4,1.3405,1,45.1281,16.0115,0
5.7902,12.8254,15.3653,1,53.5537,6,1.8988,1,40.7392,24.9631,0
14.0561,11.366,18.8736,1,16.1039,6,1.4994,0,56.7972,12.3757,0
16.0027,8.5279,22.5345,1,41.7678,2,1.9229,2,100.3869,15.1883,0
5.4531,9.5478,22.0751,1,58.3613,3,2.344,1,89.3876,19.8216,0
12.2517,12.7838,26.9277,1,77.3529,3,2.2752,0,23.3775,15.9419,0
14.5434,10.9739,4.0531,1,84.2999,7,1.2218,2,72.7805,8.734,0
8.692,9.1336,0.3694,1,60.8116,1,1.0511,0,44.3359,17.2391,0
20.4684,10.8197,9.6855,1,13.5309,3,1.5065,1,111.6708,17.3413,0
13.4304,8.1289,14.3087,1,75.6709,4,0.9049,1,56.2315,22.9163,0
6.7201,10.0154,28.116,1,61.888,7,1.9017,2,27.2799,20.8068,0
10.7255,10.9335,37.7271,1,84.9068,6,1.5982,0,110.9817,12.0778,0
20.4702,9.9411,22.076,1,68.375,5,2.1991,0,57.0076,16.0794,0
10.3488,9.2465,26.674,1,20.8514,3,2.4092,1,59.1386,14.5856,0
5.1544,10.281,8.0509,0,11.5773,7,1.6275,0,34.1116,9.4692,0
12.2088,12.2672,6.5855,1,26.2704,4,1.4796,0,18.0722,23.3126,0
1.9168,9.6061,1.5009,1,2.3255,48,7.1932,11,0.4897,62.2025,1
21.7914,12.2056,6.859,0,64.3829,4,1.8561,0,52.9816,11.1849,0
12.4039,9.8999,5.4054,1,13.2328,3,1.9543,0,91.9035,12.6484,0
6.5289,11.0351,2.0283,1,43.8092,1,1.1953,0,90.6187,22.1902,0
24.4095,10.5166,12.6979,1,20.8457,3,2.3345,1,19.3559,13.1413,0
9.6307,8.2018,11.498,1,60.924,3,2.0278,1,97.0203,23.0508,0
16.4621,9.4798,37.4877,1,26.0651,7,1.6972,2,38.2222,17.2971,0
23.8847,13.1026,24.0912,1,53.9099,6,0.9183,2,52.6463,18.2617,0
6.4328,9.1591,15.8248,1,40.0457,3,2.4387,1,24.9145,22.4948,0
12.9778,10.8159,21.5371,1,33.8103,7,0.8736,0,50.9978,9.5568,0
8.7316,11.0203,37.0336,1,85.1241,2,1.4292,1,108.111,9.6453,0
13.3623,10.2696,8.2319,1,46.8312,4,1.7814,1,19.6652,22.4822,0
21.9167,12.6327,11.2026,1,32.3377,6,0.8834,1,86.6787,20.6008,0
14.0408,11.1465,27.5537,1,72.2127,7,1.1314,0,36.6888,16.6749,0
12.9695,9.1082,21.7757,1,55.1397,5,1.0694,0,15.4123,17.3862,0
13.4232,11.7942,12.6051,0,21.0585,1,0.8817,2,38.1446,8.2462,0
18.2528,8.9389,21.2888,1,71.9452,2,2.4964,2,49.3861,10.6749,0
17.231,12.0699,10.637,1,10.5635,3,1.0203,1,57.8828,13.547,0
16.2654,13.1197,7.7483,1,9.9931,1,2.1436,0,27.8568,12.4665,0
6.3071,13.4061,16.7356,1,27.6116,0,1.1695,0,97.1324,9.959,0
7.017,11.9347,7.7211,1,71.2821,3,2.3092,1,69.3565,11.453,0
15.6335,10.2064,22.4135,1,42.2139,3,0.9385,0,65.8184,18.5665,0
10.2884,8.0278,17.0802,1,54.1171,4,1.7635,1,34.1431,23.7987,0
12.5664,9.604,18.3164,1,23.5943,7,1.8955,2,81.6916,16.7738,0
11.6789,13.2959,23.8837,0,86.9483,0,0.8093,1,104.1072,13.4422,0
14.6464,12.5147,14.4211,1,27.4131,6,2.2592,1,76.6484,22.3179,0
7.2609,11.9366,9.7342,1,87.794,2,1.7796,0,85.3933,16.1192,0
16.1529,8.9805,27.224,1,54.6116,5,2.1183,1,19.6338,10.4994,0
16.7663,11.0777,19.5597,1,35.886,4,0.8435,1,23.7843,9.3583,0
1.5766,9.73,1.5009,0,0.9966,46,4.6283,11,3.7359,69.3733,1
17.1837,12.3365,1.4668,1,84.4972,2,1.3589,0,77.3595,8.452,0
15.2405,12.0937,24.3617,1,24.0278,0,1.5135,0,80.4578,18.3077,0
11.3429,12.4629,27.8024,1,19.4337,1,2.3168,2,51.9872,15.7756,0
5.9294,10.3976,10.2403,1,8.6205,1,1.1069,1,23.2447,23.8096,0
23.7542,11.2658,27.4986,1,17.5096,4,1.2442,1,108.5693,19.5095,0
23.2133,8.8399,14.2306,1,63.1373,2,1.0227,2,45.7231,15.9011,0
8.1276,12.6638,32.8845,1,28.3485,2,1.7854,1,49.6324,9.6549,0
23.6365,8.8283,19.1062,1,57.3656,3,2.179,1,85.4882,12.9618,0
24.5732,12.1437,29.3685,1,37.8256,7,2.054,2,113.7301,14.1771,0
24.3446,9.9937,37.5066,1,60.2094,1,1.6173,2,61.1625,12.7203,0
7.9688,9.4633,25.7275,0,13.9256,6,1.2122,1,114.1462,15.398,0
21.7227,13.4364,3.6351,1,41.0084,0,1.1118,1,16.8947,18.7222,0
2.2032,9.7173,1.5009,0,0.8529,35,10.0027,5,0.944,62.0421,1
19.0481,9.6574,19.8359,1,87.5902,3,2.2233,1,90.9432,8.0356,0
7.2358,13.4186,22.3029,1,28.1891,4,0.8921,1,52.3033,8.9293,0
19.0144,9.9245,27.1823,1,12.6466,0,2.4437,0,85.0356,21.0454,0
16.3452,12.2342,18.2358,1,66.2008,6,1.9815,2,26.7076,21.4473,0
19.4326,11.5485,2.4579,1,71.0426,2,1.5687,0,76.0434,8.2345,0
14.8295,9.9798,13.6759,1,76.4809,7,1.4176,2,106.8967,21.2539,0
9.5125,11.7082,9.4772,1,39.4977,1,1.4797,0,63.6283,19.6338,0
9.844,13.0915,8.3058,0,14.4856,5,1.1872,0,113.6608,23.2412,0
20.3512,11.8114,6.1838,0,44.7211,2,0.9383,0,21.5982,23.5772,0
20.7091,13.2762,22.7014,0,13.9933,2,1.7761,2,32.3316,13.0854,0
19.5868,9.1085,30.3133,0,27.4172,0,0.8774,0,97.0989,21.5099,0
16.9676,12.0014,38.6619,1,60.3034,6,2.132,2,32.8645,21.1024,0
23.4961,12.9537,33.129,1,89.9452,3,1.5277,0,56.7524,20.3976,0
19.4642,9.4954,6.9525,1,68.9156,5,2.36,2,27.1527,15.9146,0
19.6365,11.1606,25.6179,1,26.3207,0,1.2471,1,118.129,21.4807,0
9.7574,12.1812,27.0558,1,86.2503,3,2.407,2,105.2632,20.7847,0
22.3165,8.7509,0.2223,1,88.768,3,1.0277,2,70.7233,24.1652,0
18.3671,10.5702,33.4885,1,32.7978,0,2.4826,2,60.7286,11.6388,0
13.0993,9.3258,4.3893,1,47.4469,2,2.0005,2,81.0078,16.5025,0
11.5669,12.8447,21.6787,1,16.4456,7,2.3983,2,90.855,10.234,0
21.9016,11.1766,7.6658,1,77.3911,4,1.2284,2,27.0489,16.2729,0
17.3369,8.1136,0.0331,0,60.3401,3,2.0625,0,22.9838,9.32,0
17.3931,11.5788,9.2975,0,85.3982,6,1.9145,1,55.8949,12.9563,0
14.6235,12.8598,37.5624,1,15.2056,6,0.9032,0,96.5213,15.2377,0
21.7955,9.54,19.5787,1,49.1978,5,1.7707,1,94.1338,8.2219,0
7.0416,10.5927,33.7606,1,86.2447,7,2.3673,0,66.0286,24.3252,0
7.5018,8.0926,5.0507,0,75.8345,6,1.6745,2,90.2559,14.393,0
7.9279,12.2442,8.5017,1,24.6964,1,2.4802,2,20.4136,11.0508,0
7.1366,13.3548,31.7405,1,85.3796,6,1.1307,0,78.3985,21.033,0
13.0001,11.6754,8.2623,0,37.2674,2,2.0322,0,55.826,18.1653,0
6.9911,12.455,37.1484,1,29.4183,6,1.2627,0,62.64,15.4222,0
6.6246,11.1157,19.6248,1,50.2487,6,1.3293,0,52.441,19.4305,0
22.3248,13.4504,18.9987,1,24.2251,6,1.7303,1,29.2105,10.4264,0
15.7758,9.1414,30.7705,1,35.4055,6,1.3732,1,105.0059,8.3062,0
10.3165,10.0805,12.4265,0,79.5762,2,2.3433,1,97.0565,17.5762,0
9.9935,12.6646,32.324,1,32.3745,3,1.6933,1,47.9919,10.21,0
18.7273,12.1779,4.088,1,51.9579,1,2.386,0,115.4064,17.776,0
23.1033,10.2281,20.7182,1,39.6667,7,1.0419,1,22.1681,18.5586,0
6.2996,10.6261,35.77,0,20.3434,6,2.1912,1,84.3165,21.3457,0
24.4994,8.4751,9.8972,1,20.9255,0,1.0644,1,25.7717,24.5968,0
14.092,10.8824,15.0455,1,23.5204,2,2.283,1,114.862,18.7086,0
17.0363,10.5577,19.2873,1,27.4257,4,1.0624,1,98.8756,9.6987,0
19.7109,12.9664,21.8789,0,21.2743,7,1.1351,2,21.8698,19.9503,0
20.83,9.612,28.7167,1,70.2113,4,2.1883,2,119.9346,24.7168,0
0.5651,9.7356,1.5009,1,0.9428,51,10.0879,6,4.0374,61.7141,1
13.9732,11.2871,33.9417,1,78.2334,7,0.8156,1,104.6924,8.0342,0
22.2176,9.8441,31.6332,1,29.202,6,2.2318,2,73.6543,16.8647,0
8.5688,9.263,19.4179,1,76.3117,5,1.7225,0,95.1616,15.6277,0
22.9722,9.3035,7.1521,0,51.5226,5,2.1629,2,96.1456,14.8962,0
17.2301,12.5455,18.5213,1,44.3841,1,1.9256,1,48.197,15.7753,0
9.2967,8.6109,22.4069,0,56.691,7,0.8322,0,102.465,9.2168,0
1.7781,9.6489,1.5009,1,0.6244,15,7.253,18,1.7836,60.7978,1
19.1462,11.2668,39.4434,0,79.2763,3,1.5948,2,89.4908,19.3,0
14.0304,8.4352,6.9653,1,68.089,0,2.1371,0,116.7218,15.6042,0
16.352,12.0891,32.8482,1,59.1926,1,1.1597,2,94.7901,13.1637,0
5.3029,10.0201,6.7874,1,47.3133,5,1.6225,1,108.2603,22.1688,0
8.2205,12.5558,26.5125,1,64.4658,0,2.1183,0,88.9735,20.1074,0
5.5606,13.0437,37.9413,1,80.9486,7,0.9736,1,74.7178,18.7703,0
24.4342,11.6949,24.3634,1,89.9569,1,1.4544,1,49.8718,16.3899,0
3.1213,9.6155,1.5009,0,3.2832,22,5.6898,17,2.7094,65.2464,1
23.7021,10.2917,14.2991,1,65.0654,1,1.6791,0,83.2505,10.6733,0
15.29,9.2578,38.1141,1,40.6196,2,2.3972,1,47.7484,22.2052,0
11.931,10.5095,39.0294,1,84.2142,2,1.2842,0,98.1135,13.4204,0
5.6016,11.5741,21.2714,1,38.6276,0,1.0134,0,74.1736,12.2071,0
9.2136,12.4377,36.9072,1,46.9263,0,1.1367,1,19.576,20.2387,0
14.8957,10.7796,9.006,1,45.5385,3,1.8969,2,30.8228,24.5018,0
13.6167,8.7147,3.8139,1,86.1294,1,1.2416,1,94.5258,14.0836,0
20.4017,12.2525,15.0863,1,63.4899,0,1.7452,2,118.6833,19.5468,0
19.0526,8.5381,14.2177,1,12.5844,0,1.7578,2,43.8556,22.8755,0
14.8936,9.3614,28.3691,1,13.7353,0,0.95,1,72.0105,9.1566,0
12.8355,11.4856,5.8354,0,69.3163,4,1.7423,1,55.4417,15.8269,0
15.3112,9.5353,22.6469,0,56.8615,2,2.0523,2,34.6093,11.7533,0
19.1112,9.3817,10.9264,1,50.2706,3,2.1705,1,73.2244,18.5049,0
10.4197,9.0295,14.6998,1,47.0029,6,2.3002,0,51.7015,9.5645,0
7.4172,11.8412,6.6919,1,40.9243,4,1.4818,2,25.1464,20.441,0
15.4012,10.0176,24.7055,1,51.1652,2,2.2523,2,113.9561,16.3888,0
5.0889,8.7931,32.8988,1,16.0614,0,1.4634,2,67.7274,14.3729,0
17.7377,13.1812,7.7175,0,57.644,6,2.3036,0,76.8675,10.3872,0
23.6001,9.383,30.7876,1,40.99,0,1.7556,1,51.4044,17.5377,0
10.3607,12.6697,25.9717,1,40.8837,1,1.8629,2,54.9432,15.757,0
17.6704,12.2079,5.0889,0,66.2563,3,1.4076,0,81.8837,21.097,0
7.4562,8.8659,21.589,0,28.9126,0,2.0076,1,65.7038,15.2385,0
3.4636,9.6701,1.5009,1,1.9337,28,9.573,16,2.851,41.8897,1
12.5954,10.4764,29.039,1,85.0474,6,1.8499,1,79.0628,16.6263,0
16.239,13.2083,14.8862,1,25.2523,2,1.1316,2,119.3801,22.8235,0
7.8214,10.0438,13.7038,0,68.6959,7,1.3137,2,89.4568,20.3253,0
10.7741,12.4774,37.7297,0,26.0215,6,1.9657,1,116.7541,19.5082,0
23.2472,8.8365,28.9193,1,89.0684,2,1.35,2,90.3825,14.729,0
