zone,month,zone_disruption_freq,flood_risk,fog_risk,heat_risk,aqi_base,month_risk,weather_severity,aqi_level,traffic_disruption,worker_tenure_weeks,worker_claim_ratio,risk_score,weekly_premium_inr
Lajpat Nagar,8,0.32,0.45,0.5,0.68,0.75,0.75,0.3787,0.4897,0.0708,81,0.0593,0.443,66.72
Mayur Vihar,10,0.35,0.55,0.58,0.7,0.8,0.65,0.34,0.7125,0.1956,73,0.2085,0.5267,70.07
Noida Sector 18,8,0.3,0.45,0.58,0.7,0.74,0.75,0.5355,0.6547,0.1235,40,0.125,0.549,70.96
Janakpuri,8,0.3,0.4,0.6,0.68,0.76,0.75,0.7333,0.5634,0.1212,97,0.2484,0.5855,72.42
Janakpuri,6,0.3,0.4,0.6,0.68,0.76,0.8,0.2944,0.2722,0.0244,8,0.2967,0.4255,66.02
Karol Bagh,3,0.33,0.42,0.55,0.72,0.82,0.2,0.3598,0.5009,0.0458,44,0.2719,0.3713,63.85
Lajpat Nagar,4,0.32,0.45,0.5,0.68,0.75,0.25,0.3132,0.4921,0.1789,29,0.3721,0.4272,66.09
Gurugram Sector 29,9,0.28,0.5,0.55,0.68,0.72,0.6,0.4632,0.1421,0.0727,95,0.0128,0.3871,64.48
Rohini,1,0.35,0.5,0.7,0.72,0.8,0.7,0.4698,0.4083,0.1387,20,0.1325,0.5298,70.19
Lajpat Nagar,2,0.32,0.45,0.5,0.68,0.75,0.65,0.5497,0.4952,0.0861,96,0.0042,0.5138,69.55
Shahdara,5,0.4,0.65,0.6,0.72,0.85,0.75,0.3003,0.3087,0.014,78,0.3126,0.4565,67.26
Vasant Kunj,10,0.22,0.3,0.48,0.65,0.68,0.65,0.3041,0.7677,0.0645,91,0.188,0.468,67.72
Gurugram Sector 29,8,0.28,0.5,0.55,0.68,0.72,0.75,0.6308,0.2077,0.0259,40,0.0084,0.4461,66.85
Mayur Vihar,8,0.35,0.55,0.58,0.7,0.8,0.75,0.5788,0.3848,0.1149,26,0.3076,0.5587,71.35
Gurugram Sector 29,7,0.28,0.5,0.55,0.68,0.72,0.7,0.5902,0.5371,0.0795,19,0.0808,0.5312,70.25
Mayur Vihar,2,0.35,0.55,0.58,0.7,0.8,0.65,0.8595,0.4323,0.0932,73,0.0473,0.6541,75.16
Shahdara,4,0.4,0.65,0.6,0.72,0.85,0.25,0.2067,0.4071,0.1599,11,0.6566,0.4135,65.54
Lajpat Nagar,1,0.32,0.45,0.5,0.68,0.75,0.7,0.6256,0.4087,0.188,36,0.0215,0.4478,66.91
Karol Bagh,10,0.33,0.42,0.55,0.72,0.82,0.65,0.2886,0.9404,0.198,46,0.2544,0.6171,73.69
Janakpuri,10,0.3,0.4,0.6,0.68,0.76,0.65,0.7051,0.4598,0.1387,20,0.1294,0.5634,71.54
Shahdara,4,0.4,0.65,0.6,0.72,0.85,0.25,0.2274,0.6175,0.116,48,0.0025,0.3128,61.51
Saket,4,0.25,0.35,0.5,0.65,0.7,0.25,0.2574,0.1526,0.1017,48,0.1028,0.2173,57.69
Rohini,4,0.35,0.5,0.7,0.72,0.8,0.25,0.0834,0.2969,0.1518,17,0.3733,0.2247,57.99
Vasant Kunj,11,0.22,0.3,0.48,0.65,0.68,0.8,0.5681,0.7247,0.0721,51,0.2459,0.5589,71.36
Mayur Vihar,6,0.35,0.55,0.58,0.7,0.8,0.8,0.2834,0.5958,0.0715,59,0.0643,0.4776,68.1
Noida Sector 18,10,0.3,0.45,0.58,0.7,0.74,0.65,0.6867,0.4579,0.0253,68,0.0491,0.5118,69.47
Saket,6,0.25,0.35,0.5,0.65,0.7,0.8,0.4874,0.4812,0.0944,27,0.0739,0.4889,68.56
Mayur Vihar,9,0.35,0.55,0.58,0.7,0.8,0.6,0.2825,0.4004,0.0267,34,0.2796,0.4459,66.83
Shahdara,7,0.4,0.65,0.6,0.72,0.85,0.7,0.5362,0.4725,0.3566,97,0.1588,0.5889,72.56
Janakpuri,4,0.3,0.4,0.6,0.68,0.76,0.25,0.21,0.4366,0.0594,9,0.1111,0.2863,60.45
Janakpuri,11,0.3,0.4,0.6,0.68,0.76,0.8,0.0443,0.6164,0.2057,31,0.5494,0.3856,64.42
Rohini,9,0.35,0.5,0.7,0.72,0.8,0.6,0.4463,0.7435,0.1429,31,0.2031,0.6327,74.31
Lajpat Nagar,10,0.32,0.45,0.5,0.68,0.75,0.65,0.2079,0.789,0.0418,25,0.4373,0.578,72.12
Shahdara,12,0.4,0.65,0.6,0.72,0.85,0.75,0.5416,0.3871,0.1958,86,0.3316,0.6671,75.68
Karol Bagh,3,0.33,0.42,0.55,0.72,0.82,0.2,0.4254,0.2188,0.0783,94,0.4597,0.3263,62.05
